Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,file_complexity,comment_lines_density,bugs
0,25,0,1,27,342.0,17.0,0.0,0.0,10.0,0,0,1.0,1.9,0.3,2
0,1844,0,115,774,6800.0,300.0,5.0,0.0,202.0,635,51,82.0,2.8,1.2,0
0,702,0,22,150,6762.0,998.0,2.0,14.0,474.0,356,12,179.0,15.6,2.6,40
0,4,0,2,116,421.0,36.0,0.0,0.0,23.0,38,2,119.0,1.3,22.0,1
0,4,0,1,20,1304.0,75.0,3.0,1.0,43.0,0,0,143.0,5.8,9.9,0
2,2,2,1,1977,2107.0,39.0,25.0,27.0,23.0,0,0,140.0,0.9,6.2,0
0,29,0,1,224,1260.0,75.0,3.0,1.0,43.0,0,0,14.0,5.8,1.1,0
0,37,0,1,140,264.0,49.0,0.0,3.0,26.0,0,0,22.0,49.0,7.7,2
0,2,0,1,4,243.0,44.0,29.0,1.0,10.0,0,0,4.0,44.0,1.6,0
0,21,0,1,32,4689.0,539.0,6.0,0.0,302.0,563,24,139.0,6.0,2.9,5
0,2,0,1,56,458.0,5.0,3.0,1.0,43.0,0,0,24.0,1.0,5.0,5
0,2,0,1,92,431.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,24,0,1,49,240.0,56.0,0.0,1.0,30.0,0,0,29.0,11.2,10.8,0
0,10,0,0,12,485.0,47.0,3.0,0.0,28.0,0,0,88.0,2.0,15.4,2
0,77,0,5,736,525.0,155.0,0.0,0.0,44.0,0,0,29.0,15.5,5.2,1
5,552,0,19,164,269.0,89.0,1.0,0.0,30.0,0,0,32.0,29.7,10.6,0
0,4,0,1,8,27.0,1.0,0.0,1.0,1.0,0,0,0.0,1.0,0.0,0
1,41,0,5,67,83.0,75.0,3.0,1.0,43.0,0,0,8.0,5.8,8.8,0
0,1,0,1,108,4103.0,793.0,8.0,16.0,705.0,103,7,6.0,8.2,0.1,0
0,45,0,5,42,352.0,42.0,0.0,6.0,30.0,0,0,14.0,2.3,3.8,0
0,9,0,1,29,8114.0,1004.0,1.0,1.0,737.0,1959,121,777.0,15.4,8.7,11
0,149,0,4,264,47.0,6.0,0.0,0.0,2.0,0,0,6.0,1.5,11.3,0
22,1847,1,10,725,209.0,19.0,0.0,0.0,16.0,0,0,18.0,6.3,7.9,0
0,8,0,1,135,211.0,29.0,0.0,0.0,24.0,0,0,33.0,2.2,13.5,1
0,4,0,1,87,35814.0,911.0,0.0,0.0,343.0,22200,896,508.0,30.4,1.4,37
0,20,15,2,23825,17564.0,3978.0,82.0,31.0,1288.0,5254,85,4301.0,16.2,19.7,273
0,54,0,2,104,5154.0,5.0,0.0,0.0,5.0,0,0,13.0,1.3,0.3,1
1,1,0,1,48,208.0,9.0,0.0,0.0,6.0,0,0,17.0,0.9,7.6,0
0,3,0,2,501,850.0,54.0,0.0,0.0,42.0,72,2,12.0,2.5,1.4,2
0,11,0,1,56,61.0,75.0,3.0,1.0,43.0,0,0,1.0,5.8,1.6,0
15,2,0,0,31,22.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,4,0,1,23,55.0,75.0,3.0,1.0,43.0,0,0,1.0,5.8,1.8,0
1,16,0,1,92,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,5,0,1,34,30.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,5,0,3,54,13.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,1,0,1,9,14.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,58,0,1,67,235.0,49.0,0.0,3.0,26.0,0,0,20.0,49.0,7.8,2
1,3,0,1,43,1325.0,75.0,3.0,1.0,43.0,0,0,143.0,5.8,9.7,0
1,36,0,1,1578,2621.0,182.0,0.0,0.0,110.0,52,2,180.0,6.7,6.4,0
