Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,class_complexity,file_complexity,comment_lines_density,bugs
90,478,30,5,271,6102,319,0,18,198,515,11,333,None,2.4,5.2,4
0,19,0,1,51,2817,278,2,0,89,163,4,188,None,25.3,6.3,8
0,54,0,1,60,1215,62,0,0,35,84,2,1,None,1.9,0.1,2
0,26,1,1,26,436,19,0,0,12,54,2,1,None,2.7,0.2,0
18,155,4,2,155,4103,793,8,16,705,103,7,6,None,8.2,0.1,0
0,4,0,0,35,272,26,2,0,21,0,0,17,None,2,5.9,3
0,11,25,3,59,334,30,3,4,16,0,0,32,None,2,8.7,2
0,52,0,4,40,1194,168,0,0,61,100,6,236,None,24,16.5,57
2,15,0,2,2034,18246,1982,14,53,1395,8007,316,3048,None,3.2,14.3,37
0,57,0,1,43,1112,44,0,0,36,448,4,23,None,3.4,2,0
0,109,0,10,43,808,127,18,0,89,24,2,93,None,5.8,10.3,3
0,31,0,1,14,240,56,0,1,30,0,0,29,None,11.2,10.8,0
7,54,5,6,85,54976,6208,5939,104,1821,12902,1463,18651,None,17.6,25.3,1397
1,62,0,12,65,117,23,0,0,12,0,0,5,None,23,4.1,0
0,76,0,2,40,583,83,3,0,54,0,0,23,None,5.9,3.8,0
0,17,0,1,34,231,20,0,0,15,0,0,26,None,2,10.1,0
0,15,0,1,7,305,25,0,2,18,0,0,0,None,12.5,0,0
0,45,1,2,45,889,251,6,0,173,112,6,176,None,13.9,16.5,0
0,3,0,0,16,107,11,0,1,10,0,0,13,None,1.4,10.8,3
0,21,0,1,72,1281,124,0,0,85,0,0,87,None,4.4,6.4,2
0,22,6,1,18,379,12,0,0,10,0,0,63,None,3,14.3,1
0,24,0,1,28,163,12,0,0,9,0,0,29,None,1.7,15.1,0
0,15,0,1,96,1063,69,0,6,45,0,0,34,None,2.4,3.1,0
0,25,0,1,27,342,17,0,0,10,0,0,1,None,1.9,0.3,2
0,1844,0,115,774,6800,300,5,0,202,635,51,82,None,2.8,1.2,0
0,702,0,22,150,6762,998,2,14,474,356,12,179,None,15.6,2.6,40
0,4,0,2,116,421,36,0,0,23,38,2,119,None,1.3,22,1
0,4,0,1,20,1304,None,None,None,None,0,0,143,None,None,9.9,0
2,2,2,1,1977,2107,39,25,27,23,0,0,140,None,0.9,6.2,0
0,29,0,1,224,1260,None,None,None,None,0,0,14,None,None,1.1,0
0,37,0,1,140,264,49,0,3,26,0,0,22,None,49,7.7,2
0,2,0,1,4,243,44,29,1,10,0,0,4,None,44,1.6,0
0,21,0,1,32,4689,539,6,0,302,563,24,139,None,6,2.9,5
0,2,0,1,56,458,5,None,None,None,0,0,24,None,1,5,5
0,2,0,1,92,431,None,None,None,None,0,0,0,None,None,0,0
0,24,0,1,49,240,56,0,1,30,0,0,29,None,11.2,10.8,0
0,10,0,0,12,485,47,3,0,28,0,0,88,None,2,15.4,2
0,77,0,5,736,525,155,0,0,44,0,0,29,None,15.5,5.2,1
5,552,0,19,164,269,89,1,0,30,0,0,32,None,29.7,10.6,0
0,4,0,1,8,27,1,0,1,1,0,0,0,None,1,0,0
1,41,0,5,67,83,None,None,None,None,0,0,8,None,None,8.8,0
0,1,0,1,108,4103,793,8,16,705,103,7,6,None,8.2,0.1,0
0,45,0,5,42,352,42,0,6,30,0,0,14,None,2.3,3.8,0
0,9,0,1,29,8114,1004,1,1,737,1959,121,777,None,15.4,8.7,11
0,149,0,4,264,47,6,0,0,2,0,0,6,None,1.5,11.3,0
22,1847,1,10,725,209,19,0,0,16,0,0,18,None,6.3,7.9,0
0,8,0,1,135,211,29,0,0,24,0,0,33,None,2.2,13.5,1
0,4,0,1,87,35814,911,0,0,343,22200,896,508,None,30.4,1.4,37
0,20,15,2,23825,17564,3978,82,31,1288,5254,85,4301,None,16.2,19.7,273
0,54,0,2,104,5154,5,0,0,5,0,0,13,None,1.3,0.3,1
1,1,0,1,48,208,9,0,0,6,0,0,17,None,0.9,7.6,0
0,3,0,2,501,850,54,0,0,42,72,2,12,None,2.5,1.4,2
0,11,0,1,56,61,None,None,None,None,0,0,1,None,None,1.6,0
15,2,0,0,31,22,None,None,None,None,0,0,0,None,None,0,0
0,4,0,1,23,55,None,None,None,None,0,0,1,None,None,1.8,0
1,16,0,1,92,None,None,None,None,None,0,0,None,None,None,None,0
0,5,0,1,34,30,None,None,None,None,0,0,0,None,None,0,0
0,5,0,3,54,13,None,None,None,None,0,0,0,None,None,0,0
0,1,0,1,9,14,None,None,None,None,0,0,0,None,None,0,0
0,58,0,1,67,235,49,0,3,26,0,0,20,None,49,7.8,2
1,3,0,1,43,1325,None,None,None,None,0,0,143,None,None,9.7,0
1,36,0,1,1578,2621,182,0,0,110,52,2,180,None,6.7,6.4,0
0,12103,0,320,5757,633,32,0,0,27,0,0,4,None,2.3,0.6,0
0,48,0,1,1674,591,40,0,0,29,0,0,3,None,4,0.5,0
1,200,0,2,88,356,29,1,1,20,0,0,0,None,4.1,0,0
0,12,1,1,160,12952,3616,113,3,974,12205,313,2751,None,139.1,17.5,64
0,3,0,1,115,930,96,1,0,77,0,0,81,None,4,8,1
0,1,0,1,1200,333,19,0,0,11,0,0,9,None,6.3,2.6,3
0,6,0,1,224,305,25,0,2,18,0,0,0,None,12.5,0,0
0,2,0,1,101,690,77,0,0,50,0,0,72,None,4.3,9.4,0
1,11,0,1,69,322,26,0,0,10,0,0,37,None,8.7,10.3,2
19,2,0,1,73,1264,152,2,0,104,0,0,45,None,2.7,3.4,1
0,7,0,1,187,431,None,None,None,None,0,0,0,None,None,0,0
